"DESCRICAO","ROTULO","COD_CONFIGURACAO","COD_MEDICAO_ETA","VALOR","DT_REGISTRO_PROGRAMADA"
DOSAGENS,Dens. Flúor,1341,21002288,1.2038,2020-10-03 01:00:00
DOSAGENS,Cloro Pós,1339,21002279,21.0000,2020-10-03 01:00:00
RESERVATÓRIO,Nível,1325,21003298,91.0000,2020-10-03 01:00:00
FILTROS,Filtro 5,1354,21003303,0.3700,2020-10-03 01:00:00
DOSAGENS,Conc. Flúor,1340,21002281,23.0000,2020-10-03 01:00:00
DOSAGENS,Conc. Flúor,1340,21002282,23.0000,2020-10-03 02:00:00
ÁGUA COAGULADA,Turbidez,1347,21003948,12.5000,2020-10-03 02:00:00
RESERVATÓRIO,Nível,1325,21003809,85.0000,2020-10-03 02:00:00
ÁGUA BRUTA,Cor,1343,21003944,35.0000,2020-10-03 02:00:00
ÁGUA BRUTA,Turbidez,1344,21003945,8.5200,2020-10-03 02:00:00
ÁGUA TRATADA,pH,1358,21003953,6.8000,2020-10-03 02:00:00
ÁGUA TRATADA,Íon Flúor,1362,21003956,0.6000,2020-10-03 02:00:00
DOSAGENS,Cloro Pós,1339,21003810,16.0000,2020-10-03 02:00:00
ÁGUA BRUTA,Alcalinidade,1346,21003947,17.5000,2020-10-03 02:00:00
ÁGUA COAGULADA,pH,1348,21003949,6.4700,2020-10-03 02:00:00
DOSAGENS,Dens. Flúor,1341,21002289,1.2038,2020-10-03 02:00:00
DOSAGENS,Dosagem Sulfato,1333,21003807,80.6500,2020-10-03 02:00:00
DOSAGENS,Dens. Sulfato,1331,21002259,1.3220,2020-10-03 02:00:00
ENTRADA DA ETA,Vazão afluente,1324,21003806,1411.0000,2020-10-03 02:00:00
COND. AMBIENTAIS,Temp. ar,1349,21003950,22.1000,2020-10-03 02:00:00
ÁGUA TRATADA,Cor,1356,21003951,3.0000,2020-10-03 02:00:00
DOSAGENS,Cloro Pré,1338,21002273,3.0000,2020-10-03 02:00:00
DOSAGENS,Dosagem Flúor,1342,21003808,21.4200,2020-10-03 02:00:00
ÁGUA BRUTA,pH,1345,21003946,7.1200,2020-10-03 02:00:00
ÁGUA TRATADA,Alcalinidade,1359,21003954,19.2000,2020-10-03 02:00:00
ÁGUA TRATADA,Cloro residual,1360,21003955,1.8400,2020-10-03 02:00:00
DOSAGENS,Conc. Sulfato,1330,21002252,46.3200,2020-10-03 02:00:00
DOSAGENS,Dosagem Sulfato,1332,21002266,7.0000,2020-10-03 02:00:00
ÁGUA TRATADA,Turbidez,1357,21003952,0.4000,2020-10-03 02:00:00
FILTROS,Filtro 6,1355,21004569,0.5200,2020-10-03 03:00:00
DOSAGENS,Dosagem Sulfato,1332,21002267,7.0000,2020-10-03 03:00:00
DOSAGENS,Conc. Sulfato,1330,21002253,46.3200,2020-10-03 03:00:00
FILTROS,Filtro 2,1351,21004565,0.4400,2020-10-03 03:00:00
FILTROS,Filtro 4,1353,21004567,0.3900,2020-10-03 03:00:00
DOSAGENS,Dosagem Flúor,1342,21004545,22.4200,2020-10-03 03:00:00
ÁGUA TRATADA,Cloro residual,1360,21004570,2.1000,2020-10-03 03:00:00
DOSAGENS,Cloro Pré,1338,21002274,3.0000,2020-10-03 03:00:00
ENTRADA DA ETA,Vazão afluente,1324,21004543,1477.0000,2020-10-03 03:00:00
DOSAGENS,Dens. Sulfato,1331,21002260,1.3220,2020-10-03 03:00:00
DOSAGENS,Dosagem Sulfato,1333,21004544,84.4200,2020-10-03 03:00:00
FILTROS,Filtro 1,1350,21004564,0.4500,2020-10-03 03:00:00
FILTROS,Filtro 3,1352,21004566,0.4800,2020-10-03 03:00:00
DOSAGENS,Dens. Flúor,1341,21002290,1.2038,2020-10-03 03:00:00
DOSAGENS,Cloro Pós,1339,21004547,16.0000,2020-10-03 03:00:00
RESERVATÓRIO,Nível,1325,21004546,82.0000,2020-10-03 03:00:00
FILTROS,Filtro 5,1354,21004568,0.5000,2020-10-03 03:00:00
DOSAGENS,Conc. Flúor,1340,21002283,23.0000,2020-10-03 03:00:00
DOSAGENS,Conc. Flúor,1340,21002284,23.0000,2020-10-03 04:00:00
ÁGUA COAGULADA,Turbidez,1347,21005291,13.1000,2020-10-03 04:00:00
RESERVATÓRIO,Nível,1325,21005156,86.0000,2020-10-03 04:00:00
ÁGUA BRUTA,Cor,1343,21005287,38.0000,2020-10-03 04:00:00
ÁGUA BRUTA,Turbidez,1344,21005288,8.4100,2020-10-03 04:00:00
ÁGUA TRATADA,pH,1358,21005296,6.9000,2020-10-03 04:00:00
ÁGUA TRATADA,Íon Flúor,1362,21005299,0.6600,2020-10-03 04:00:00
DOSAGENS,Cloro Pós,1339,21005157,16.0000,2020-10-03 04:00:00
ÁGUA BRUTA,Alcalinidade,1346,21005290,17.5000,2020-10-03 04:00:00
ÁGUA COAGULADA,pH,1348,21005292,6.4400,2020-10-03 04:00:00
DOSAGENS,Dens. Flúor,1341,21002291,1.2038,2020-10-03 04:00:00
DOSAGENS,Dosagem Sulfato,1333,21005154,78.4800,2020-10-03 04:00:00
DOSAGENS,Dens. Sulfato,1331,21002261,1.3220,2020-10-03 04:00:00
ENTRADA DA ETA,Vazão afluente,1324,21005153,1373.0000,2020-10-03 04:00:00
COND. AMBIENTAIS,Temp. ar,1349,21005293,22.8000,2020-10-03 04:00:00
ÁGUA TRATADA,Cor,1356,21005294,2.0000,2020-10-03 04:00:00
DOSAGENS,Cloro Pré,1338,21002275,3.0000,2020-10-03 04:00:00
DOSAGENS,Dosagem Flúor,1342,21005155,20.8400,2020-10-03 04:00:00
ÁGUA BRUTA,pH,1345,21005289,7.1600,2020-10-03 04:00:00
ÁGUA TRATADA,Alcalinidade,1359,21005297,19.2000,2020-10-03 04:00:00
ÁGUA TRATADA,Cloro residual,1360,21005298,2.1000,2020-10-03 04:00:00
DOSAGENS,Conc. Sulfato,1330,21002254,46.3200,2020-10-03 04:00:00
DOSAGENS,Dosagem Sulfato,1332,21002268,7.0000,2020-10-03 04:00:00
ÁGUA TRATADA,Turbidez,1357,21005295,0.2200,2020-10-03 04:00:00
DOSAGENS,Dosagem Sulfato,1332,21002269,7.0000,2020-10-03 05:00:00
DOSAGENS,Conc. Sulfato,1330,21002255,46.3200,2020-10-03 05:00:00
DOSAGENS,Dosagem Flúor,1342,21006251,29.9200,2020-10-03 05:00:00
ÁGUA TRATADA,Cloro residual,1360,21006254,2.2000,2020-10-03 05:00:00
DOSAGENS,Cloro Pré,1338,21002276,3.0000,2020-10-03 05:00:00
ENTRADA DA ETA,Vazão afluente,1324,21006249,1971.0000,2020-10-03 05:00:00
DOSAGENS,Dens. Sulfato,1331,21002262,1.3220,2020-10-03 05:00:00
DOSAGENS,Dosagem Sulfato,1333,21006250,112.6600,2020-10-03 05:00:00
DOSAGENS,Dens. Flúor,1341,21002292,1.2038,2020-10-03 05:00:00
DOSAGENS,Cloro Pós,1339,21006253,21.0000,2020-10-03 05:00:00
RESERVATÓRIO,Nível,1325,21006252,91.0000,2020-10-03 05:00:00
DOSAGENS,Conc. Flúor,1340,21002285,23.0000,2020-10-03 05:00:00
DOSAGENS,Conc. Flúor,1340,21002286,23.0000,2020-10-03 06:00:00
DOSAGENS,Dens. Flúor,1341,21002293,1.2038,2020-10-03 06:00:00
DOSAGENS,Dens. Sulfato,1331,21002263,1.3220,2020-10-03 06:00:00
DOSAGENS,Cloro Pré,1338,21002277,3.0000,2020-10-03 06:00:00
DOSAGENS,Conc. Sulfato,1330,21002256,46.3200,2020-10-03 06:00:00
DOSAGENS,Dosagem Sulfato,1332,21002270,7.0000,2020-10-03 06:00:00
DOSAGENS,Conc. Sulfato,1330,21026641,46.3200,2020-10-03 20:00:00
DOSAGENS,Dosagem Sulfato,1332,21026643,7.0000,2020-10-03 20:00:00
DOSAGENS,Cloro Pré,1338,21026653,3.0000,2020-10-03 20:00:00
ENTRADA DA ETA,Vazão afluente,1324,21026633,1150.0000,2020-10-03 20:00:00
DOSAGENS,Dens. Sulfato,1331,21026642,1.3220,2020-10-03 20:00:00
DOSAGENS,Dosagem Flúor,1342,21026635,17.4600,2020-10-03 20:00:00
DOSAGENS,Cloro Pós,1339,21026657,16.0000,2020-10-03 20:00:00
DOSAGENS,Dens. Flúor,1341,21026665,1.2038,2020-10-03 20:00:00
DOSAGENS,Dosagem Sulfato,1333,21026634,65.7300,2020-10-03 20:00:00
DOSAGENS,Conc. Flúor,1340,21026661,23.0000,2020-10-03 20:00:00
RESERVATÓRIO,Nível,1325,21026636,66.0000,2020-10-03 20:00:00
RESERVATÓRIO,Nível,1325,21026640,64.0000,2020-10-03 21:00:00
DOSAGENS,Conc. Flúor,1340,21026662,23.0000,2020-10-03 21:00:00
DOSAGENS,Dosagem Sulfato,1333,21026638,67.3300,2020-10-03 21:00:00
DOSAGENS,Dens. Flúor,1341,21026666,1.2038,2020-10-03 21:00:00
DOSAGENS,Cloro Pós,1339,21026658,16.0000,2020-10-03 21:00:00
DOSAGENS,Dosagem Flúor,1342,21026639,17.8800,2020-10-03 21:00:00
DOSAGENS,Dens. Sulfato,1331,21026647,1.3220,2020-10-03 21:00:00
ENTRADA DA ETA,Vazão afluente,1324,21026637,1178.0000,2020-10-03 21:00:00
DOSAGENS,Cloro Pré,1338,21026654,3.0000,2020-10-03 21:00:00
DOSAGENS,Conc. Sulfato,1330,21026644,46.3200,2020-10-03 21:00:00
DOSAGENS,Dosagem Sulfato,1332,21026650,7.0000,2020-10-03 21:00:00
DOSAGENS,Dosagem Sulfato,1332,21026651,7.0000,2020-10-03 22:00:00
DOSAGENS,Conc. Sulfato,1330,21026645,46.3200,2020-10-03 22:00:00
ÁGUA TRATADA,Turbidez,1357,21027284,0.6600,2020-10-03 22:00:00
DOSAGENS,Cloro Pré,1338,21026655,3.0000,2020-10-03 22:00:00
DOSAGENS,Dens. Sulfato,1331,21026648,1.3220,2020-10-03 22:00:00
ENTRADA DA ETA,Vazão afluente,1324,21027272,2288.0000,2020-10-03 22:00:00
COND. AMBIENTAIS,Temp. ar,1349,21027282,25.6000,2020-10-03 22:00:00
ÁGUA TRATADA,Cor,1356,21027283,4.0000,2020-10-03 22:00:00
DOSAGENS,Dosagem Flúor,1342,21027274,34.7300,2020-10-03 22:00:00
ÁGUA BRUTA,pH,1345,21027278,7.1200,2020-10-03 22:00:00
ÁGUA TRATADA,Alcalinidade,1359,21027286,18.9000,2020-10-03 22:00:00
ÁGUA TRATADA,Cloro residual,1360,21027287,1.7000,2020-10-03 22:00:00
DOSAGENS,Cloro Pós,1339,21026659,24.0000,2020-10-03 22:00:00
DOSAGENS,Dens. Flúor,1341,21026667,1.2038,2020-10-03 22:00:00
ÁGUA BRUTA,Alcalinidade,1346,21027279,18.0000,2020-10-03 22:00:00
ÁGUA COAGULADA,pH,1348,21027281,6.4700,2020-10-03 22:00:00
DOSAGENS,Dosagem Sulfato,1333,21027273,130.7700,2020-10-03 22:00:00
DOSAGENS,Conc. Flúor,1340,21026663,23.0000,2020-10-03 22:00:00
ÁGUA COAGULADA,Turbidez,1347,21027280,10.2000,2020-10-03 22:00:00
RESERVATÓRIO,Nível,1325,21027275,70.0000,2020-10-03 22:00:00
ÁGUA BRUTA,Cor,1343,21027276,42.0000,2020-10-03 22:00:00
ÁGUA BRUTA,Turbidez,1344,21027277,8.6400,2020-10-03 22:00:00
ÁGUA TRATADA,pH,1358,21027285,7.2000,2020-10-03 22:00:00
ÁGUA TRATADA,Íon Flúor,1362,21027288,0.6000,2020-10-03 22:00:00
RESERVATÓRIO,Nível,1325,21027984,73.0000,2020-10-03 23:00:00
FILTROS,Filtro 5,1354,21027989,0.5900,2020-10-03 23:00:00
DOSAGENS,Conc. Flúor,1340,21026664,23.0000,2020-10-03 23:00:00
DOSAGENS,Dosagem Sulfato,1333,21027982,130.8300,2020-10-03 23:00:00
FILTROS,Filtro 1,1350,21027985,0.3500,2020-10-03 23:00:00
FILTROS,Filtro 3,1352,21027987,0.4400,2020-10-03 23:00:00
DOSAGENS,Dens. Flúor,1341,21026668,1.2038,2020-10-03 23:00:00
DOSAGENS,Cloro Pós,1339,21026660,24.0000,2020-10-03 23:00:00
DOSAGENS,Dosagem Flúor,1342,21027983,34.7500,2020-10-03 23:00:00
ÁGUA TRATADA,Cloro residual,1360,21027991,1.9800,2020-10-03 23:00:00
ENTRADA DA ETA,Vazão afluente,1324,21027981,2289.0000,2020-10-03 23:00:00
DOSAGENS,Dens. Sulfato,1331,21026649,1.3220,2020-10-03 23:00:00
DOSAGENS,Cloro Pré,1338,21026656,3.0000,2020-10-03 23:00:00
FILTROS,Filtro 6,1355,21027990,0.5500,2020-10-03 23:00:00
DOSAGENS,Conc. Sulfato,1330,21026646,46.3200,2020-10-03 23:00:00
DOSAGENS,Dosagem Sulfato,1332,21026652,7.0000,2020-10-03 23:00:00
FILTROS,Filtro 2,1351,21027986,0.4500,2020-10-03 23:00:00
FILTROS,Filtro 4,1353,21027988,0.5200,2020-10-03 23:00:00
DOSAGENS,Dosagem Sulfato,1332,21028586,7.0000,2020-10-04 00:00:00
DOSAGENS,Conc. Sulfato,1330,21028572,46.3200,2020-10-04 00:00:00
ÁGUA TRATADA,Turbidez,1357,21028629,0.6500,2020-10-04 00:00:00
DOSAGENS,Cloro Pré,1338,21028593,3.0000,2020-10-04 00:00:00
ENTRADA DA ETA,Vazão afluente,1324,21028568,2276.0000,2020-10-04 00:00:00
DOSAGENS,Dens. Sulfato,1331,21028579,1.3220,2020-10-04 00:00:00
COND. AMBIENTAIS,Temp. ar,1349,21028627,24.8000,2020-10-04 00:00:00
ÁGUA TRATADA,Cor,1356,21028628,4.0000,2020-10-04 00:00:00
DOSAGENS,Dosagem Flúor,1342,21028570,34.5500,2020-10-04 00:00:00
ÁGUA BRUTA,pH,1345,21028623,7.1200,2020-10-04 00:00:00
ÁGUA TRATADA,Alcalinidade,1359,21028631,18.9000,2020-10-04 00:00:00
ÁGUA TRATADA,Cloro residual,1360,21028632,1.6600,2020-10-04 00:00:00
DOSAGENS,Dens. Flúor,1341,21028614,1.2038,2020-10-04 00:00:00
DOSAGENS,Cloro Pós,1339,21028600,24.0000,2020-10-04 00:00:00
ÁGUA BRUTA,Alcalinidade,1346,21028624,18.0000,2020-10-04 00:00:00
ÁGUA COAGULADA,pH,1348,21028626,6.5700,2020-10-04 00:00:00
DOSAGENS,Dosagem Sulfato,1333,21028569,130.0900,2020-10-04 00:00:00
ÁGUA COAGULADA,Turbidez,1347,21028625,13.6000,2020-10-04 00:00:00
DOSAGENS,Conc. Flúor,1340,21028607,23.0000,2020-10-04 00:00:00
RESERVATÓRIO,Nível,1325,21028571,74.0000,2020-10-04 00:00:00
ÁGUA BRUTA,Cor,1343,21028621,45.0000,2020-10-04 00:00:00
ÁGUA BRUTA,Turbidez,1344,21028622,10.6000,2020-10-04 00:00:00
ÁGUA TRATADA,pH,1358,21028630,7.1200,2020-10-04 00:00:00
ÁGUA TRATADA,Íon Flúor,1362,21028633,0.6100,2020-10-04 00:00:00
RESERVATÓRIO,Nível,1325,21029578,72.0000,2020-10-04 01:00:00
DOSAGENS,Conc. Flúor,1340,21028608,23.0000,2020-10-04 01:00:00
FILTROS,Filtro 5,1354,21029583,0.5300,2020-10-04 01:00:00
DOSAGENS,Dosagem Sulfato,1333,21029576,130.4300,2020-10-04 01:00:00
FILTROS,Filtro 1,1350,21029579,0.3500,2020-10-04 01:00:00
FILTROS,Filtro 3,1352,21029581,0.4400,2020-10-04 01:00:00
DOSAGENS,Cloro Pós,1339,21028601,24.0000,2020-10-04 01:00:00
DOSAGENS,Dens. Flúor,1341,21028615,1.2038,2020-10-04 01:00:00
DOSAGENS,Dosagem Flúor,1342,21029577,34.6400,2020-10-04 01:00:00
ÁGUA TRATADA,Cloro residual,1360,21029585,1.7800,2020-10-04 01:00:00
ENTRADA DA ETA,Vazão afluente,1324,21029575,2282.0000,2020-10-04 01:00:00
DOSAGENS,Dens. Sulfato,1331,21028580,1.3220,2020-10-04 01:00:00
DOSAGENS,Cloro Pré,1338,21028594,3.0000,2020-10-04 01:00:00
FILTROS,Filtro 6,1355,21029584,0.5800,2020-10-04 01:00:00
DOSAGENS,Conc. Sulfato,1330,21028573,46.3200,2020-10-04 01:00:00
DOSAGENS,Dosagem Sulfato,1332,21028587,7.0000,2020-10-04 01:00:00
FILTROS,Filtro 2,1351,21029580,0.4800,2020-10-04 01:00:00
FILTROS,Filtro 4,1353,21029582,0.5200,2020-10-04 01:00:00
DOSAGENS,Dosagem Sulfato,1332,21028588,7.0000,2020-10-04 02:00:00
DOSAGENS,Conc. Sulfato,1330,21028574,46.3200,2020-10-04 02:00:00
ÁGUA TRATADA,Turbidez,1357,21030217,0.5500,2020-10-04 02:00:00
DOSAGENS,Cloro Pré,1338,21028595,3.0000,2020-10-04 02:00:00
DOSAGENS,Dens. Sulfato,1331,21028581,1.3220,2020-10-04 02:00:00
ENTRADA DA ETA,Vazão afluente,1324,21029990,2283.0000,2020-10-04 02:00:00
COND. AMBIENTAIS,Temp. ar,1349,21030215,24.3000,2020-10-04 02:00:00
ÁGUA TRATADA,Cor,1356,21030216,3.0000,2020-10-04 02:00:00
DOSAGENS,Dosagem Flúor,1342,21029992,34.6600,2020-10-04 02:00:00
ÁGUA BRUTA,pH,1345,21030211,7.0700,2020-10-04 02:00:00
ÁGUA TRATADA,Alcalinidade,1359,21030219,18.9000,2020-10-04 02:00:00
ÁGUA TRATADA,Cloro residual,1360,21030220,1.7800,2020-10-04 02:00:00
DOSAGENS,Dens. Flúor,1341,21028616,1.2038,2020-10-04 02:00:00
DOSAGENS,Cloro Pós,1339,21028602,24.0000,2020-10-04 02:00:00
ÁGUA BRUTA,Alcalinidade,1346,21030212,18.0000,2020-10-04 02:00:00
ÁGUA COAGULADA,pH,1348,21030214,6.4700,2020-10-04 02:00:00
DOSAGENS,Dosagem Sulfato,1333,21029991,130.4900,2020-10-04 02:00:00
ÁGUA COAGULADA,Turbidez,1347,21030213,13.1000,2020-10-04 02:00:00
DOSAGENS,Conc. Flúor,1340,21028609,23.0000,2020-10-04 02:00:00
RESERVATÓRIO,Nível,1325,21029993,73.0000,2020-10-04 02:00:00
ÁGUA BRUTA,Cor,1343,21030209,35.0000,2020-10-04 02:00:00
ÁGUA BRUTA,Turbidez,1344,21030210,8.9200,2020-10-04 02:00:00
ÁGUA TRATADA,pH,1358,21030218,6.9800,2020-10-04 02:00:00
ÁGUA TRATADA,Íon Flúor,1362,21030221,0.6600,2020-10-04 02:00:00
RESERVATÓRIO,Nível,1325,21031122,73.0000,2020-10-04 03:00:00
DOSAGENS,Conc. Flúor,1340,21028610,23.0000,2020-10-04 03:00:00
DOSAGENS,Dosagem Sulfato,1333,21031120,130.0300,2020-10-04 03:00:00
DOSAGENS,Cloro Pós,1339,21028603,24.0000,2020-10-04 03:00:00
DOSAGENS,Dens. Flúor,1341,21028617,1.2038,2020-10-04 03:00:00
DOSAGENS,Dosagem Flúor,1342,21031121,34.5300,2020-10-04 03:00:00
ÁGUA TRATADA,Cloro residual,1360,21031145,1.8000,2020-10-04 03:00:00
ENTRADA DA ETA,Vazão afluente,1324,21031119,2275.0000,2020-10-04 03:00:00
DOSAGENS,Dens. Sulfato,1331,21028582,1.3220,2020-10-04 03:00:00
DOSAGENS,Cloro Pré,1338,21028596,3.0000,2020-10-04 03:00:00
DOSAGENS,Conc. Sulfato,1330,21028575,46.3200,2020-10-04 03:00:00
DOSAGENS,Dosagem Sulfato,1332,21028589,7.0000,2020-10-04 03:00:00
DOSAGENS,Dosagem Sulfato,1332,21028590,7.0000,2020-10-04 04:00:00
DOSAGENS,Conc. Sulfato,1330,21028576,46.3200,2020-10-04 04:00:00
FILTROS,Filtro 6,1355,21031914,0.5900,2020-10-04 04:00:00
ÁGUA TRATADA,Turbidez,1357,21031916,0.4200,2020-10-04 04:00:00
FILTROS,Filtro 2,1351,21031910,0.4500,2020-10-04 04:00:00
FILTROS,Filtro 4,1353,21031912,0.4800,2020-10-04 04:00:00
DOSAGENS,Cloro Pré,1338,21028597,3.0000,2020-10-04 04:00:00
DOSAGENS,Dens. Sulfato,1331,21028583,1.3220,2020-10-04 04:00:00
ENTRADA DA ETA,Vazão afluente,1324,21031796,2270.0000,2020-10-04 04:00:00
COND. AMBIENTAIS,Temp. ar,1349,21031908,24.5000,2020-10-04 04:00:00
ÁGUA TRATADA,Cor,1356,21031915,3.0000,2020-10-04 04:00:00
DOSAGENS,Dosagem Flúor,1342,21031798,34.4600,2020-10-04 04:00:00
ÁGUA BRUTA,pH,1345,21031904,7.1200,2020-10-04 04:00:00
ÁGUA TRATADA,Alcalinidade,1359,21031918,18.9000,2020-10-04 04:00:00
ÁGUA TRATADA,Cloro residual,1360,21031919,1.9000,2020-10-04 04:00:00
DOSAGENS,Dens. Flúor,1341,21028618,1.2038,2020-10-04 04:00:00
DOSAGENS,Cloro Pós,1339,21028604,24.0000,2020-10-04 04:00:00
ÁGUA BRUTA,Alcalinidade,1346,21031905,18.0000,2020-10-04 04:00:00
ÁGUA COAGULADA,pH,1348,21031907,6.4800,2020-10-04 04:00:00
DOSAGENS,Dosagem Sulfato,1333,21031797,129.7500,2020-10-04 04:00:00
FILTROS,Filtro 1,1350,21031909,0.3200,2020-10-04 04:00:00
FILTROS,Filtro 3,1352,21031911,0.4400,2020-10-04 04:00:00
DOSAGENS,Conc. Flúor,1340,21028611,23.0000,2020-10-04 04:00:00
ÁGUA COAGULADA,Turbidez,1347,21031906,11.6000,2020-10-04 04:00:00
FILTROS,Filtro 5,1354,21031913,0.5200,2020-10-04 04:00:00
RESERVATÓRIO,Nível,1325,21031799,74.0000,2020-10-04 04:00:00
ÁGUA BRUTA,Cor,1343,21031902,35.0000,2020-10-04 04:00:00
ÁGUA BRUTA,Turbidez,1344,21031903,8.0300,2020-10-04 04:00:00
ÁGUA TRATADA,pH,1358,21031917,6.9000,2020-10-04 04:00:00
ÁGUA TRATADA,Íon Flúor,1362,21031920,0.6100,2020-10-04 04:00:00
RESERVATÓRIO,Nível,1325,21032689,79.0000,2020-10-04 05:00:00
DOSAGENS,Conc. Flúor,1340,21028612,23.0000,2020-10-04 05:00:00
DOSAGENS,Dosagem Sulfato,1333,21032687,128.7700,2020-10-04 05:00:00
DOSAGENS,Cloro Pós,1339,21028605,24.0000,2020-10-04 05:00:00
DOSAGENS,Dens. Flúor,1341,21028619,1.2038,2020-10-04 05:00:00
DOSAGENS,Dosagem Flúor,1342,21032688,34.2000,2020-10-04 05:00:00
ÁGUA TRATADA,Cloro residual,1360,21032717,1.9800,2020-10-04 05:00:00
ENTRADA DA ETA,Vazão afluente,1324,21032686,2253.0000,2020-10-04 05:00:00
DOSAGENS,Dens. Sulfato,1331,21028584,1.3220,2020-10-04 05:00:00
DOSAGENS,Cloro Pré,1338,21028598,3.0000,2020-10-04 05:00:00
DOSAGENS,Conc. Sulfato,1330,21028577,46.3200,2020-10-04 05:00:00
DOSAGENS,Dosagem Sulfato,1332,21028591,7.0000,2020-10-04 05:00:00
DOSAGENS,Dosagem Sulfato,1332,21028592,7.0000,2020-10-04 06:00:00
DOSAGENS,Conc. Sulfato,1330,21028578,46.3200,2020-10-04 06:00:00
ÁGUA TRATADA,Turbidez,1357,21034268,0.5200,2020-10-04 06:00:00
DOSAGENS,Cloro Pré,1338,21028599,3.0000,2020-10-04 06:00:00
DOSAGENS,Dens. Sulfato,1331,21028585,1.3220,2020-10-04 06:00:00
ENTRADA DA ETA,Vazão afluente,1324,21034256,2283.0000,2020-10-04 06:00:00
COND. AMBIENTAIS,Temp. ar,1349,21034266,24.6000,2020-10-04 06:00:00
ÁGUA TRATADA,Cor,1356,21034267,3.0000,2020-10-04 06:00:00
ÁGUA TRATADA,Alumínio,1363,21034273,0.0100,2020-10-04 06:00:00
DOSAGENS,Dosagem Flúor,1342,21034258,34.6600,2020-10-04 06:00:00
ÁGUA BRUTA,pH,1345,21034262,7.1300,2020-10-04 06:00:00
ÁGUA TRATADA,Alcalinidade,1359,21034270,17.9000,2020-10-04 06:00:00
ÁGUA TRATADA,Cloro residual,1360,21034271,1.8600,2020-10-04 06:00:00
DOSAGENS,Dens. Flúor,1341,21028620,1.2038,2020-10-04 06:00:00
DOSAGENS,Cloro Pós,1339,21028606,24.0000,2020-10-04 06:00:00
ÁGUA BRUTA,Alcalinidade,1346,21034263,18.0000,2020-10-04 06:00:00
ÁGUA COAGULADA,pH,1348,21034265,6.5200,2020-10-04 06:00:00
DOSAGENS,Dosagem Sulfato,1333,21034257,130.4900,2020-10-04 06:00:00
DOSAGENS,Conc. Flúor,1340,21028613,23.0000,2020-10-04 06:00:00
ÁGUA COAGULADA,Turbidez,1347,21034264,10.3000,2020-10-04 06:00:00
RESERVATÓRIO,Nível,1325,21034259,76.0000,2020-10-04 06:00:00
ÁGUA BRUTA,Cor,1343,21034260,36.0000,2020-10-04 06:00:00
ÁGUA BRUTA,Turbidez,1344,21034261,7.0600,2020-10-04 06:00:00
ÁGUA TRATADA,pH,1358,21034269,7.1200,2020-10-04 06:00:00
ÁGUA TRATADA,Íon Flúor,1362,21034272,0.7500,2020-10-04 06:00:00
RESERVATÓRIO,Nível,1325,21035367,77.0000,2020-10-04 07:00:00
DOSAGENS,Conc. Flúor,1340,21035373,23.0000,2020-10-04 07:00:00
FILTROS,Filtro 5,1354,21036848,0.4800,2020-10-04 07:00:00
DOSAGENS,Dosagem Sulfato,1333,21035365,131.4600,2020-10-04 07:00:00
FILTROS,Filtro 1,1350,21036844,0.4500,2020-10-04 07:00:00
FILTROS,Filtro 3,1352,21036846,0.4400,2020-10-04 07:00:00
DOSAGENS,Cloro Pós,1339,21035372,24.0000,2020-10-04 07:00:00
DOSAGENS,Dens. Flúor,1341,21035374,1.2038,2020-10-04 07:00:00
DOSAGENS,Dosagem Flúor,1342,21035366,34.9100,2020-10-04 07:00:00
ÁGUA TRATADA,Cloro residual,1360,21035497,1.9000,2020-10-04 07:00:00
ENTRADA DA ETA,Vazão afluente,1324,21035364,2300.0000,2020-10-04 07:00:00
DOSAGENS,Dens. Sulfato,1331,21035369,1.3220,2020-10-04 07:00:00
DOSAGENS,Conc. Sulfato,1330,21035368,46.3200,2020-10-04 07:00:00
DOSAGENS,Dosagem Sulfato,1332,21035370,7.0000,2020-10-04 07:00:00
FILTROS,Filtro 6,1355,21036849,0.5300,2020-10-04 07:00:00
FILTROS,Filtro 2,1351,21036845,0.5200,2020-10-04 07:00:00
FILTROS,Filtro 4,1353,21036847,0.5000,2020-10-04 07:00:00
DOSAGENS,Conc. Sulfato,1330,21036874,46.3200,2020-10-04 08:00:00
DOSAGENS,Dosagem Sulfato,1332,21036876,7.0000,2020-10-04 08:00:00
ÁGUA TRATADA,Turbidez,1357,21038534,0.3400,2020-10-04 08:00:00
ENTRADA DA ETA,Vazão afluente,1324,21036842,2332.0000,2020-10-04 08:00:00
DOSAGENS,Dens. Sulfato,1331,21036875,1.3220,2020-10-04 08:00:00
ÁGUA TRATADA,Cor,1356,21038535,1.9000,2020-10-04 08:00:00
COND. AMBIENTAIS,Temp. ar,1349,21038540,26.0000,2020-10-04 08:00:00
DOSAGENS,Dosagem Flúor,1342,21036873,35.4000,2020-10-04 08:00:00
ÁGUA BRUTA,pH,1345,21038530,7.0500,2020-10-04 08:00:00
ÁGUA TRATADA,Cloro residual,1360,21038537,1.9400,2020-10-04 08:00:00
ÁGUA TRATADA,Alcalinidade,1359,21038539,18.1000,2020-10-04 08:00:00
DOSAGENS,Cloro Pós,1339,21036878,24.0000,2020-10-04 08:00:00
DOSAGENS,Dens. Flúor,1341,21036880,1.2038,2020-10-04 08:00:00
ÁGUA BRUTA,Alcalinidade,1346,21038531,15.4000,2020-10-04 08:00:00
